SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
1078,K2-148 b,395.0,740.474,13.507,2018,Super Earth,14.895999999999999,0.0454 AU,4.4 days,0.0,K2-147,Transit,,,19h35m19.97s,-28d29m52.2s,3672.0,0.58,0.55,32.768855843350295
1079,K2-148 c,395.0,1156.7920000000001,13.507,2018,Super Earth,19.375999999999998,0.0616 AU,6.9 days,0.0,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63,30.25643922788089
1080,K2-148 d,395.0,1058.2740000000001,13.507,2018,Super Earth,18.368,0.0774 AU,9.8 days,0.0,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63,30.801025489907534
1081,K2-149 b,385.0,1058.2740000000001,14.484000000000002,2018,Super Earth,18.368,0.083 AU,11.3 days,0.0,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63,30.801025489907534
1083,K2-150 b,359.0,1480.948,15.829,2018,Super Earth,22.4,0.0727 AU,10.6 days,0.0,K2-15,Transit,,,11h52m26.59s,+04d15m17.1s,5131.0,0.72,0.68,28.982414550651168
1084,K2-151 b,227.0,899.374,14.14,2018,Super Earth,16.688,0.0373 AU,3.8 days,0.0,K2-150,Transit,,,01h13m22.60s,+08d59m15.1s,3499.0,0.46,0.44,31.71192001688158
1086,K2-153 b,468.0,1480.948,14.979000000000001,2018,Super Earth,22.4,0.0614 AU,7.5 days,0.0,K2-152,Transit,,,12h06m31.87s,-05d49m38.7s,4044.0,0.63,0.61,28.982414550651168
1087,K2-154 b,423.0,1468.236,14.033,2018,Super Earth,22.288,0.0405 AU,3.7 days,0.0,K2-153,Transit,,,12h15m14.21s,+02d01m15.4s,3845.0,0.55,0.53,29.023144324726786
1088,K2-154 c,423.0,1569.9320000000002,14.033,2018,Super Earth,23.183999999999997,0.0677 AU,8 days,0.0,K2-154,Transit,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63,28.681040103242445
1089,K2-155 b,267.0,1236.2420000000002,12.806,2018,Super Earth,20.16,0.0562 AU,6.3 days,0.0,K2-154,Transit,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63,29.86848741642374
1091,K2-155 d,267.0,1357.0059999999999,12.806,2018,Super Earth,21.279999999999998,0.1937 AU,40.7 days,0.0,K2-155,Transit,88.96,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58,29.42586999186345
1092,K2-156 b,491.0,508.48,13.424000000000001,2018,Super Earth,12.879999999999999,0.0149 AU,0.8 days,0.0,K2-155,Transit,89.61,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58,30.097674472714324
1093,K2-157 b,981.0,375.004,12.823,2018,Super Earth,11.815999999999999,Unknown,0.4 days,0.0,K2-156,Transit,,,12h10m48.04s,-06d17m39.1s,4597.0,0.66,0.66,26.37459058556318
1095,K2-158 c,647.0,692.8040000000001,11.774000000000001,2018,Super Earth,14.335999999999999,0.0622 AU,5.9 days,0.0,K2-158,Transit,,,11h59m45.60s,-05d43m18.2s,5503.0,0.92,0.95,33.10131087820399
1101,K2-155 d,267.0,1357.0059999999999,12.806,2018,Super Earth,21.279999999999998,0.1937 AU,40.7 days,0.0,K2-161,Transit,87.251,,12h15m10.52s,-03d29m44.2s,4972.0,0.99,2.57,29.42586999186345
